,text,price,sales,location,comments,dp_name
0,【当日发货】xiaomi/小米红米9A手机学生机备用机老年老人机高清屏幕大电池大音量,569.00,75人付款,广东 广州,937,联通华盛手机官方旗舰店
1,6期免息+送礼品/当天发】新品Xiaomi/小米 小米10官方全网通Pro骁龙865手机旗舰9pro 5G全面屏手机店新正品11,3048.00,14人付款,广东 深圳,332,热图数码专营店
2,分期免息Apple/苹果 iPhone XR 苹果xs max xr 国行正品8plus手机,2190.00,7500+人付款,广东 深圳,774,新理念通讯城
3,【今日特惠30 入会至高省50】vivo iQOO U3x新品爱酷千元5G大电池学生老人拍照智能手机vivoiqooU3x vivou3x,1199.00,4316人付款,广东 东莞,423,vivo官方旗舰店
4,【6期免息】Smartisan锤子坚果手机R2 5g骁龙865智能全面屏大电池新款官方旗舰店 游戏手机官网安卓高通数码,3999.00,1811人付款,广东 深圳,1866,坚果手机旗舰店
5,【分期免息】Apple/苹果 iPhone XS Max 双卡双待手机x国行苹果xr,2680.00,3196人付款,上海,1734,优尚_韩衣店
6,✅✅分期免息Apple/苹果 iPhone XR苹果xs xsmax 苹果x iphonex手机,2200.00,4205人付款,上海,1122,壮壮通讯1123
7,Apple/苹果 iPhone XR国行双卡双待手机苹果Xsmax未激活iphone 11,2079.00,824人付款,广东 广州,47,吃货的小铺
8,分期免息Apple/苹果 iPhone XS Max苹果xr全新国行x正品8plus手机,1180.00,1213人付款,广东 深圳,42,xuanxuan68988
9,Apple/苹果 iPhone XS Max苹果xr国行xs max手机iPhonex苹果8plus,1430.00,601人付款,广东 深圳,16,智能高升数码
10,分期免息Apple/苹果 iPhone XR xs max苹果8x国行正品手机8plus,2080.00,7500+人付款,广东 深圳,1149,何人在炅途88
11,vivo Z5X极点全面屏高通骁龙710大电池长续航闪充手机vivoz5x z56,899.00,212人付款,广东 广州,33,tb2644240168
12,分期免息Apple/苹果 iPhone XS Max苹果xr xs苹果x iPhonex手机12,2100.00,4005人付款,广东 深圳,2684,壹加陆时尚女装
13,Apple/苹果 iPhone XR 国行双卡双待手机 苹果xr 未激活iphone xr,2330.00,444人付款,广东 广州,28,萌萌哒创意品
14,分期免息Apple/苹果 iPhone 8 Plus 苹果8P全新国行全网通手机8x,1220.00,1197人付款,广东 深圳,147,林业鸿11
15,分期Apple/苹果 iPhone X 国行xsmax全新iphonexr256g正品手机xs,2098.00,2726人付款,北京,5062,陈娜5218
16,国行Apple/苹果 iPhone XS Max 苹果x xs xsmax xr 手机分期免息,2139.00,2515人付款,广东 深圳,1161,安妮轩儿
17,Apple/苹果 iPhone 7 plus苹果7国行iphone 8 plus正品7p 8p手机X,950.00,181人付款,广东 深圳,1,德隆数码商贸
18,分期免息Apple/苹果 iPhone XS Max国行xs苹果xr双卡8x手机12期,2450.00,1929人付款,上海,633,智诚手机
19,Apple/苹果 iPhone XR 国行全新双卡 苹果XR 苹果se2 未激活 手机,2400.00,1053人付款,广东 广州,246,新西兰小镇特卡波
20,分期免息Apple/苹果 iPhone X 苹果xs xsmax苹果x iphonex手机,1150.00,1396人付款,广东 深圳,,天意顺通通讯
21,现货 SMARTISAN/锤子 坚果 Pro3手机骁龙855plus坚果PRO2S手机2,1258.00,3人付款,广东 深圳,18,潮流mwp
22,Apple/苹果 iPhone XS Max苹果xr 国行全网通iphone xs 苹果x手机,1988.00,747人付款,广东 深圳,33,威图通讯
23,Apple/苹果 iPhone 12 Pro Max 苹果12 mini iphoen12 手机5G正品,4628.00,1977人付款,福建 厦门,187,90韩版家族
24,【11年老店】Apple/苹果 iPhone 11新款苹果iphone11 pro max手机,3288.00,1675人付款,江苏 南京,1852,liubingtuan
25,Apple/苹果 iPhone 7 Plus苹果7 全新iphone 8 plus国行7p 8P手机,999.00,878人付款,广东 深圳,113,ddaisyqiu
26,Apple/苹果 iPhone XS全新iphonexr国行苹果xs max苹果xr双卡手机,2488.00,2633人付款,广东 广州,260,棉艺世家
27,【现货顺丰速发 6期免息】vivo iQOO Neo5高通骁龙870 5g游戏爱酷新款手机vivo官方旗舰店iqoo neo5 noe5新品,2699.00,2.0万+人付款,广东 东莞,14372,vivo官方旗舰店
28,五皇冠Apple/苹果 iPhone X苹果xs xsmax全新xr iphonex手机8plus,1168.00,5000+人付款,广东 深圳,4503,bailaoquan123
29,分期免息Apple/苹果 iPhone XR 苹果XS MAX 手机xs 国行xr 苹果8X,1195.00,3265人付款,广东 深圳,3856,深圳爱机网络科技
30,分期0首付Apple/苹果iPhone X苹果xr全新国行xs max正品8plus手机,2240.00,2.0万+人付款,广东 深圳,4745,越南新娘食品店
31,Apple/苹果 iPhone 8Plus全新苹果xr双卡国行正品8x全网通x手机8p,1200.00,182人付款,广东 深圳,,wywy12332122
32,【旗舰新品 12期免息】一加OnePlus 9R 5G手机轻薄拍照商务骁龙870游戏智能手机一加官方旗舰店一加9r官网,2999.00,4534人付款,广东 东莞,,一加官方旗舰店
33,Apple/苹果 iPhone8plus国行苹果8plus苹果iphone8手机iphone8p,1180.00,659人付款,广东 深圳,13,星荣依莎
34,Apple/苹果 iPhone 11 Pro Max 11promax国行正品全网通手机现货,3250.00,121人付款,广东 深圳,,诚信经营201309
35,Apple/苹果 iPhone 11 苹果11promax国行正品全网通双卡手机现货,3250.00,3456人付款,广东 深圳,3150,开开心心来购物吧
36,Apple/苹果 iPhone 11 苹果11promax国行正品全网通双卡手机现货,3650.00,2205人付款,广东 深圳,84,乐乐淘先生
37,Apple/苹果 iPhone XS Max全新iphone x国行苹果xr双卡xs手机256g,1200.00,1505人付款,北京,3057,陈娜5218
38,Apple/苹果 iPhone X 苹果xr全新xs max手机iphone 8 plus苹果8p,1369.00,1.5万+人付款,广东 深圳,35912,今生缘198703
39,现货速发 Apple/苹果 iPhone 11国行正品苹果iphone11promax 手机,2998.00,4184人付款,广东 深圳,2279,陈志刚19680214
40,分期免息Apple/苹果 iPhone XS Max国行XR苹果XS手机12期,2080.00,5000+人付款,广东 广州,676,ttlg1999
41,Apple/苹果 iPhone XR 苹果x xs xsmaxiphonex iPhone8 8puls手机,1250.00,1.0万+人付款,广东 深圳,1445,智尚通讯
42,【百亿补贴专享】Apple/苹果 iPhone 11 4G全网通2020款12智能手机正品官方旗舰店苹果11全新正品,5299.00,912人付款,广东 深圳,1725,购速度旗舰店
43,【12期免息赠充电套装】小米10S 5g手机骁龙870对称式立体声智能拍照游戏小米官方旗舰店小米手机小米10系列,3299.00,1251人付款,江苏 南京,186,苏宁易购官方旗舰店
44,【充值超市卡更优惠】红米Note9 4G手机小米note9大屏智能游戏,999.00,2216人付款,上海,1981,天猫超市
45,分期免息Apple/苹果 iPhone 11 Pro Max新款苹果11国行正品手机,3000.00,3645人付款,广东 深圳,2344,敞开你的心
46,Apple/苹果 iPhone XR 国行双卡双待手机 苹果xr 未激活iphone xr,2485.00,151人付款,广东 深圳,,小柠檬1号铺
47,【旗舰新品 限时24期免息】一加OnePlus 9 Pro 5G手机骁龙888旗舰2K+120Hz柔性屏拍照商务智能手机旗舰店,5499.00,1.0万+人付款,广东 东莞,2835,一加官方旗舰店
